episode,episode_length,total_env_steps,total_reward
387,173,140408,-42.1424
388,146,140554,7.9737
389,335,140889,215.8803
390,295,141184,216.6823
391,371,141555,191.2104
392,235,141790,244.2804
393,263,142053,254.9024
394,329,142382,188.8320
395,287,142669,204.0444
396,146,142815,-2.5383
397,246,143061,229.3685
398,205,143266,225.9484
399,270,143536,262.7666
400,240,143776,-71.7065
401,243,144019,218.4350
402,1000,145019,108.2454
403,294,145313,244.5595
404,252,145565,234.0180
405,257,145822,252.5302
406,221,146043,241.9798
407,300,146343,228.0346
408,242,146585,241.6724
409,169,146754,248.9075
410,98,146852,61.2617
411,271,147123,204.1377
412,177,147300,-182.9526
413,268,147568,222.5660
414,229,147797,263.3477
415,470,148267,219.5714
416,182,148449,215.5691
417,159,148608,12.3956
418,208,148816,175.4848
419,223,149039,249.0448
420,380,149419,244.8744
421,298,149717,239.8405
422,490,150207,267.8168
423,236,150443,212.9983
424,280,150723,264.5804
425,916,151639,240.0250
426,233,151872,241.5171
427,252,152124,187.2598
428,667,152791,199.9667
429,153,152944,11.4648
430,217,153161,297.2687
431,269,153430,246.1185
432,257,153687,272.1880
433,192,153879,208.4749
434,813,154692,220.1348
435,222,154914,282.0911
436,476,155390,253.6411
437,467,155857,189.7476
438,135,155992,5.8073
439,266,156258,252.4834
440,260,156518,247.0441
441,340,156858,220.9864
442,657,157515,186.4733
443,143,157658,13.3782
444,164,157822,216.9191
445,1000,158822,14.1249
446,154,158976,262.3495
447,189,159165,253.7029
448,176,159341,281.1239
449,99,159440,-2.6455
450,244,159684,272.2050
451,274,159958,280.5380
452,269,160227,275.6366
453,198,160425,251.8040
454,456,160881,206.8021
455,296,161177,268.7409
456,174,161351,229.7278
457,251,161602,261.7441
458,271,161873,237.0481
459,256,162129,224.9852
460,547,162676,195.5776
461,361,163037,296.5517
462,748,163785,240.6393
463,380,164165,253.8159
464,176,164341,269.5400
465,164,164505,224.0468
466,245,164750,252.0554
467,154,164904,-167.8491
468,321,165225,306.8271
469,250,165475,282.5418
470,264,165739,264.6484
471,218,165957,233.5952
472,269,166226,250.0905
473,619,166845,233.7449
474,165,167010,216.6466
475,266,167276,295.6793
476,159,167435,241.8731
477,380,167815,284.4863
478,235,168050,249.7467
479,187,168237,229.5659
480,222,168459,236.5875
481,267,168726,262.1679
482,288,169014,252.0163
483,258,169272,248.9665
484,310,169582,256.8349
485,204,169786,251.0511
486,222,170008,272.7833
487,184,170192,217.8864
488,220,170412,222.8117
489,264,170676,249.5233
490,210,170886,282.5634
491,118,171004,-46.7796
492,206,171210,229.2478
493,193,171403,251.6247
494,152,171555,254.0046
495,196,171751,-237.0164
496,177,171928,26.9437
497,273,172201,241.8255
498,181,172382,203.7113
499,586,172968,262.2865
500,1000,173968,-20.2211
501,217,174185,236.9616
502,158,174343,-18.8146
503,252,174595,271.7849
504,601,175196,269.4509
505,384,175580,228.3963
506,153,175733,255.4608
507,240,175973,286.1937
508,220,176193,233.9362
509,475,176668,-114.0391
510,292,176960,244.3392
511,243,177203,229.8766
512,189,177392,248.5434
513,174,177566,44.9567
514,470,178036,182.4551
515,224,178260,236.2970
516,427,178687,246.0573
517,207,178894,234.3443
518,391,179285,267.4376
519,231,179516,267.1169
520,292,179808,305.8497
521,322,180130,240.5873
522,163,180293,210.4903
523,155,180448,243.7330
524,159,180607,-88.1450
525,225,180832,248.6217
526,280,181112,272.3339
527,155,181267,221.8449
528,234,181501,275.0108
529,236,181737,269.0183
530,248,181985,276.0612
531,217,182202,222.3219
532,207,182409,274.1353
533,235,182644,283.3383
534,263,182907,246.0444
535,187,183094,230.4510
536,214,183308,249.8574
537,323,183631,237.7873
538,168,183799,9.8780
539,223,184022,264.6812
540,265,184287,-227.5036
541,253,184540,253.6636
542,1000,185540,-1.0943
543,258,185798,285.4045
544,128,185926,55.2077
545,686,186612,231.9737
546,155,186767,238.4935
547,269,187036,293.1689
548,247,187283,272.8262
549,259,187542,297.4358
550,228,187770,235.6884
551,204,187974,221.8994
552,190,188164,215.6835
553,227,188391,250.7513
554,227,188618,258.6263
555,160,188778,235.3407
556,242,189020,278.8038
557,239,189259,250.1673
558,282,189541,285.0332
559,216,189757,264.8197
560,237,189994,267.1649
561,243,190237,270.0261
562,161,190398,266.1983
563,344,190742,247.8070
564,275,191017,247.3848
565,220,191237,216.8716
566,246,191483,251.5839
567,1000,192483,8.3147
568,178,192661,221.9326
569,286,192947,307.4330
570,550,193497,251.0573
571,366,193863,270.0823
572,188,194051,239.7517
573,157,194208,234.5298
574,274,194482,223.2591
575,244,194726,243.2803
576,257,194983,226.8772
577,178,195161,225.2532
578,498,195659,282.2547
579,306,195965,272.1874
580,269,196234,217.5876
581,336,196570,255.7321
582,375,196945,307.1281
583,268,197213,232.0030
