C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Pendulum-v1
  ob_dim    = 3
  ac_dim    = 1
  max_action= 2.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_pendulum-v1_seed4_Pendulum-v1_10-05-2026_20-35-32
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: -1157.768
---------------------------------------
Total T:   37000 | Ep:  185 | Steps:  200 | Reward:  -125.72
Total T:   37200 | Ep:  186 | Steps:  200 | Reward:  -115.76
Total T:   37400 | Ep:  187 | Steps:  200 | Reward:  -336.02
Total T:   37600 | Ep:  188 | Steps:  200 | Reward:  -115.07
Total T:   37800 | Ep:  189 | Steps:  200 | Reward:    -1.85
Total T:   38000 | Ep:  190 | Steps:  200 | Reward:  -270.06
Total T:   38200 | Ep:  191 | Steps:  200 | Reward:  -121.87
Total T:   38400 | Ep:  192 | Steps:  200 | Reward:  -119.99
Total T:   38600 | Ep:  193 | Steps:  200 | Reward:  -228.56
Total T:   38800 | Ep:  194 | Steps:  200 | Reward:  -124.15
Total T:   39000 | Ep:  195 | Steps:  200 | Reward:  -125.57
Total T:   39200 | Ep:  196 | Steps:  200 | Reward:    -0.21
Total T:   39400 | Ep:  197 | Steps:  200 | Reward:  -119.09
Total T:   39600 | Ep:  198 | Steps:  200 | Reward:  -221.63
Total T:   39800 | Ep:  199 | Steps:  200 | Reward:  -223.68
Total T:   40000 | Ep:  200 | Steps:  200 | Reward:  -226.96
---------------------------------------
Evaluation over 10 episodes: -119.151
---------------------------------------
Total T:   40200 | Ep:  201 | Steps:  200 | Reward:    -1.19
Total T:   40400 | Ep:  202 | Steps:  200 | Reward:  -223.04
Total T:   40600 | Ep:  203 | Steps:  200 | Reward:  -117.15
Total T:   40800 | Ep:  204 | Steps:  200 | Reward:  -118.48
Total T:   41000 | Ep:  205 | Steps:  200 | Reward:  -227.84
Total T:   41200 | Ep:  206 | Steps:  200 | Reward:  -113.98
Total T:   41400 | Ep:  207 | Steps:  200 | Reward:  -121.35
Total T:   41600 | Ep:  208 | Steps:  200 | Reward:  -124.53
Total T:   41800 | Ep:  209 | Steps:  200 | Reward:  -118.36
Total T:   42000 | Ep:  210 | Steps:  200 | Reward:  -118.15
Total T:   42200 | Ep:  211 | Steps:  200 | Reward:  -318.32
Total T:   42400 | Ep:  212 | Steps:  200 | Reward:    -0.28
Total T:   42600 | Ep:  213 | Steps:  200 | Reward:    -0.37
Total T:   42800 | Ep:  214 | Steps:  200 | Reward:  -233.97
Total T:   43000 | Ep:  215 | Steps:  200 | Reward:  -315.55
Total T:   43200 | Ep:  216 | Steps:  200 | Reward:  -229.07
Total T:   43400 | Ep:  217 | Steps:  200 | Reward:    -0.47
Total T:   43600 | Ep:  218 | Steps:  200 | Reward:  -225.70
Total T:   43800 | Ep:  219 | Steps:  200 | Reward:  -227.38
Total T:   44000 | Ep:  220 | Steps:  200 | Reward:  -227.47
Total T:   44200 | Ep:  221 | Steps:  200 | Reward:  -120.90
Total T:   44400 | Ep:  222 | Steps:  200 | Reward:  -117.48
Total T:   44600 | Ep:  223 | Steps:  200 | Reward:  -313.62
Total T:   44800 | Ep:  224 | Steps:  200 | Reward:    -0.68
Total T:   45000 | Ep:  225 | Steps:  200 | Reward:  -122.26
---------------------------------------
Evaluation over 10 episodes: -129.443
---------------------------------------
Total T:   45200 | Ep:  226 | Steps:  200 | Reward:  -230.38
Total T:   45400 | Ep:  227 | Steps:  200 | Reward:  -230.28
Total T:   45600 | Ep:  228 | Steps:  200 | Reward:  -119.70
Total T:   45800 | Ep:  229 | Steps:  200 | Reward:  -118.39
Total T:   46000 | Ep:  230 | Steps:  200 | Reward:  -234.81
Total T:   46200 | Ep:  231 | Steps:  200 | Reward:  -125.19
Total T:   46400 | Ep:  232 | Steps:  200 | Reward:  -265.06
Total T:   46600 | Ep:  233 | Steps:  200 | Reward:  -117.25
Total T:   46800 | Ep:  234 | Steps:  200 | Reward:  -119.07
Total T:   47000 | Ep:  235 | Steps:  200 | Reward:  -116.28
Total T:   47200 | Ep:  236 | Steps:  200 | Reward:  -118.87
Total T:   47400 | Ep:  237 | Steps:  200 | Reward:  -118.01
Total T:   47600 | Ep:  238 | Steps:  200 | Reward:  -119.35
Total T:   47800 | Ep:  239 | Steps:  200 | Reward:  -236.40
Total T:   48000 | Ep:  240 | Steps:  200 | Reward:  -334.30
Total T:   48200 | Ep:  241 | Steps:  200 | Reward:  -321.97
Total T:   48400 | Ep:  242 | Steps:  200 | Reward:  -231.96
Total T:   48600 | Ep:  243 | Steps:  200 | Reward:  -119.64
Total T:   48800 | Ep:  244 | Steps:  200 | Reward:  -226.33
Total T:   49000 | Ep:  245 | Steps:  200 | Reward:  -235.05
Total T:   49200 | Ep:  246 | Steps:  200 | Reward:  -239.42
Total T:   49400 | Ep:  247 | Steps:  200 | Reward:  -245.06
Total T:   49600 | Ep:  248 | Steps:  200 | Reward:  -117.12
Total T:   49800 | Ep:  249 | Steps:  200 | Reward:    -0.97
Total T:   50000 | Ep:  250 | Steps:  200 | Reward:    -0.97
---------------------------------------
Evaluation over 10 episodes: -116.622
---------------------------------------
Total T:   50200 | Ep:  251 | Steps:  200 | Reward:    -0.92
Total T:   50400 | Ep:  252 | Steps:  200 | Reward:  -269.64
Total T:   50600 | Ep:  253 | Steps:  200 | Reward:  -121.37
Total T:   50800 | Ep:  254 | Steps:  200 | Reward:    -0.89
Total T:   51000 | Ep:  255 | Steps:  200 | Reward:  -226.77
Total T:   51200 | Ep:  256 | Steps:  200 | Reward:  -119.34
Total T:   51400 | Ep:  257 | Steps:  200 | Reward:  -126.41
Total T:   51600 | Ep:  258 | Steps:  200 | Reward:  -120.51
Total T:   51800 | Ep:  259 | Steps:  200 | Reward:  -246.58
Total T:   52000 | Ep:  260 | Steps:  200 | Reward:  -118.50
Total T:   52200 | Ep:  261 | Steps:  200 | Reward:  -120.84
Total T:   52400 | Ep:  262 | Steps:  200 | Reward:    -1.29
Total T:   52600 | Ep:  263 | Steps:  200 | Reward:  -116.96
Total T:   52800 | Ep:  264 | Steps:  200 | Reward:  -118.89
Total T:   53000 | Ep:  265 | Steps:  200 | Reward:  -125.09
Total T:   53200 | Ep:  266 | Steps:  200 | Reward:  -230.69
Total T:   53400 | Ep:  267 | Steps:  200 | Reward:  -122.81
Total T:   53600 | Ep:  268 | Steps:  200 | Reward:  -118.38
Total T:   53800 | Ep:  269 | Steps:  200 | Reward:    -0.73
Total T:   54000 | Ep:  270 | Steps:  200 | Reward:  -124.37
Total T:   54200 | Ep:  271 | Steps:  200 | Reward:  -346.81
Total T:   54400 | Ep:  272 | Steps:  200 | Reward:  -121.68
Total T:   54600 | Ep:  273 | Steps:  200 | Reward:  -117.90
Total T:   54800 | Ep:  274 | Steps:  200 | Reward:  -122.09
Total T:   55000 | Ep:  275 | Steps:  200 | Reward:  -125.51
---------------------------------------
Evaluation over 10 episodes: -164.696
---------------------------------------
Total T:   55200 | Ep:  276 | Steps:  200 | Reward:  -125.89
Total T:   55400 | Ep:  277 | Steps:  200 | Reward:  -117.55
Total T:   55600 | Ep:  278 | Steps:  200 | Reward:    -6.32
Total T:   55800 | Ep:  279 | Steps:  200 | Reward:  -363.23
Total T:   56000 | Ep:  280 | Steps:  200 | Reward:  -232.78
Total T:   56200 | Ep:  281 | Steps:  200 | Reward:  -119.55
Total T:   56400 | Ep:  282 | Steps:  200 | Reward:  -119.57
Total T:   56600 | Ep:  283 | Steps:  200 | Reward:    -3.59
Total T:   56800 | Ep:  284 | Steps:  200 | Reward:  -236.00
Total T:   57000 | Ep:  285 | Steps:  200 | Reward:  -117.99
Total T:   57200 | Ep:  286 | Steps:  200 | Reward:  -119.68
Total T:   57400 | Ep:  287 | Steps:  200 | Reward:  -338.54
Total T:   57600 | Ep:  288 | Steps:  200 | Reward:    -0.90
Total T:   57800 | Ep:  289 | Steps:  200 | Reward:  -121.27
Total T:   58000 | Ep:  290 | Steps:  200 | Reward:    -0.75
Total T:   58200 | Ep:  291 | Steps:  200 | Reward:  -231.05
Total T:   58400 | Ep:  292 | Steps:  200 | Reward:  -243.26
Total T:   58600 | Ep:  293 | Steps:  200 | Reward:  -238.52
Total T:   58800 | Ep:  294 | Steps:  200 | Reward:  -120.92
Total T:   59000 | Ep:  295 | Steps:  200 | Reward:  -232.39
Total T:   59200 | Ep:  296 | Steps:  200 | Reward:  -335.20
Total T:   59400 | Ep:  297 | Steps:  200 | Reward:  -115.84
Total T:   59600 | Ep:  298 | Steps:  200 | Reward:  -120.95
Total T:   59800 | Ep:  299 | Steps:  200 | Reward:  -235.65
Total T:   60000 | Ep:  300 | Steps:  200 | Reward:    -3.12
---------------------------------------
Evaluation over 10 episodes: -164.122
---------------------------------------
Total T:   60200 | Ep:  301 | Steps:  200 | Reward:  -231.94
Total T:   60400 | Ep:  302 | Steps:  200 | Reward:  -123.56
Total T:   60600 | Ep:  303 | Steps:  200 | Reward:  -238.52
Total T:   60800 | Ep:  304 | Steps:  200 | Reward:  -331.54
Total T:   61000 | Ep:  305 | Steps:  200 | Reward:  -236.57
Total T:   61200 | Ep:  306 | Steps:  200 | Reward:  -121.59
Total T:   61400 | Ep:  307 | Steps:  200 | Reward:  -226.66
Total T:   61600 | Ep:  308 | Steps:  200 | Reward:    -2.78
Total T:   61800 | Ep:  309 | Steps:  200 | Reward:    -1.76
