C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed1_Walker2d-v4_11-05-2026_14-02-46
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 3.984
---------------------------------------
Total T:    2433 | Ep:  116 | Steps:   27 | Reward:     0.74
Total T:    2450 | Ep:  117 | Steps:   17 | Reward:    -1.83
Total T:    2462 | Ep:  118 | Steps:   12 | Reward:    -0.13
Total T:    2482 | Ep:  119 | Steps:   20 | Reward:    -3.68
Total T:    2497 | Ep:  120 | Steps:   15 | Reward:    -0.75
Total T:    2522 | Ep:  121 | Steps:   25 | Reward:     2.79
Total T:    2537 | Ep:  122 | Steps:   15 | Reward:    -3.91
Total T:    2557 | Ep:  123 | Steps:   20 | Reward:     7.98
Total T:    2603 | Ep:  124 | Steps:   46 | Reward:     7.86
Total T:    2625 | Ep:  125 | Steps:   22 | Reward:    -1.76
Total T:    2640 | Ep:  126 | Steps:   15 | Reward:     2.61
Total T:    2669 | Ep:  127 | Steps:   29 | Reward:     4.37
Total T:    2684 | Ep:  128 | Steps:   15 | Reward:     0.52
Total T:    2706 | Ep:  129 | Steps:   22 | Reward:    -1.46
Total T:    2733 | Ep:  130 | Steps:   27 | Reward:     8.92
Total T:    2748 | Ep:  131 | Steps:   15 | Reward:    -4.31
Total T:    2763 | Ep:  132 | Steps:   15 | Reward:    -1.60
Total T:    2773 | Ep:  133 | Steps:   10 | Reward:     0.71
Total T:    2789 | Ep:  134 | Steps:   16 | Reward:     2.76
Total T:    2812 | Ep:  135 | Steps:   23 | Reward:    -1.75
Total T:    2827 | Ep:  136 | Steps:   15 | Reward:    -0.49
Total T:    2846 | Ep:  137 | Steps:   19 | Reward:    -5.25
Total T:    2857 | Ep:  138 | Steps:   11 | Reward:     0.75
Total T:    2880 | Ep:  139 | Steps:   23 | Reward:    10.67
Total T:    2897 | Ep:  140 | Steps:   17 | Reward:    -0.36
Total T:    2927 | Ep:  141 | Steps:   30 | Reward:    16.26
Total T:    2954 | Ep:  142 | Steps:   27 | Reward:     3.42
Total T:    2974 | Ep:  143 | Steps:   20 | Reward:    -1.51
Total T:    3006 | Ep:  144 | Steps:   32 | Reward:     0.76
Total T:    3017 | Ep:  145 | Steps:   11 | Reward:    -1.61
Total T:    3040 | Ep:  146 | Steps:   23 | Reward:     0.87
Total T:    3058 | Ep:  147 | Steps:   18 | Reward:     6.04
Total T:    3110 | Ep:  148 | Steps:   52 | Reward:    16.14
Total T:    3140 | Ep:  149 | Steps:   30 | Reward:     5.60
Total T:    3153 | Ep:  150 | Steps:   13 | Reward:     0.20
Total T:    3161 | Ep:  151 | Steps:    8 | Reward:    -2.93
Total T:    3174 | Ep:  152 | Steps:   13 | Reward:    -0.45
Total T:    3194 | Ep:  153 | Steps:   20 | Reward:    -0.11
Total T:    3211 | Ep:  154 | Steps:   17 | Reward:     7.19
Total T:    3231 | Ep:  155 | Steps:   20 | Reward:    -1.08
Total T:    3256 | Ep:  156 | Steps:   25 | Reward:    -1.19
Total T:    3280 | Ep:  157 | Steps:   24 | Reward:     6.37
Total T:    3297 | Ep:  158 | Steps:   17 | Reward:     3.83
Total T:    3317 | Ep:  159 | Steps:   20 | Reward:     1.53
Total T:    3338 | Ep:  160 | Steps:   21 | Reward:    -1.71
Total T:    3372 | Ep:  161 | Steps:   34 | Reward:     3.59
Total T:    3393 | Ep:  162 | Steps:   21 | Reward:     2.39
Total T:    3409 | Ep:  163 | Steps:   16 | Reward:     3.31
Total T:    3430 | Ep:  164 | Steps:   21 | Reward:     8.82
Total T:    3487 | Ep:  165 | Steps:   57 | Reward:    25.01
Total T:    3512 | Ep:  166 | Steps:   25 | Reward:    12.26
Total T:    3529 | Ep:  167 | Steps:   17 | Reward:    -8.07
Total T:    3546 | Ep:  168 | Steps:   17 | Reward:     3.54
Total T:    3568 | Ep:  169 | Steps:   22 | Reward:    -1.86
Total T:    3580 | Ep:  170 | Steps:   12 | Reward:     1.33
Total T:    3597 | Ep:  171 | Steps:   17 | Reward:    -8.01
Total T:    3626 | Ep:  172 | Steps:   29 | Reward:    -1.76
Total T:    3650 | Ep:  173 | Steps:   24 | Reward:    11.07
Total T:    3673 | Ep:  174 | Steps:   23 | Reward:    -1.35
Total T:    3697 | Ep:  175 | Steps:   24 | Reward:     0.49
Total T:    3715 | Ep:  176 | Steps:   18 | Reward:     5.11
Total T:    3732 | Ep:  177 | Steps:   17 | Reward:   -10.27
Total T:    3744 | Ep:  178 | Steps:   12 | Reward:    -2.33
Total T:    3761 | Ep:  179 | Steps:   17 | Reward:    -1.52
Total T:    3775 | Ep:  180 | Steps:   14 | Reward:     3.17
Total T:    3788 | Ep:  181 | Steps:   13 | Reward:     3.09
Total T:    3809 | Ep:  182 | Steps:   21 | Reward:     6.80
Total T:    3827 | Ep:  183 | Steps:   18 | Reward:     6.12
Total T:    3836 | Ep:  184 | Steps:    9 | Reward:    -3.09
Total T:    3851 | Ep:  185 | Steps:   15 | Reward:     1.56
Total T:    3871 | Ep:  186 | Steps:   20 | Reward:    -4.03
Total T:    3902 | Ep:  187 | Steps:   31 | Reward:    -0.14
Total T:    3916 | Ep:  188 | Steps:   14 | Reward:     3.09
Total T:    3960 | Ep:  189 | Steps:   44 | Reward:    13.63
Total T:    3982 | Ep:  190 | Steps:   22 | Reward:     8.09
Total T:    4005 | Ep:  191 | Steps:   23 | Reward:     5.38
Total T:    4032 | Ep:  192 | Steps:   27 | Reward:     4.58
Total T:    4040 | Ep:  193 | Steps:    8 | Reward:    -1.95
Total T:    4053 | Ep:  194 | Steps:   13 | Reward:     0.33
Total T:    4064 | Ep:  195 | Steps:   11 | Reward:     1.58
Total T:    4083 | Ep:  196 | Steps:   19 | Reward:     7.49
Total T:    4104 | Ep:  197 | Steps:   21 | Reward:     4.48
Total T:    4124 | Ep:  198 | Steps:   20 | Reward:     2.00
Total T:    4149 | Ep:  199 | Steps:   25 | Reward:     7.52
Total T:    4172 | Ep:  200 | Steps:   23 | Reward:     1.76
Total T:    4186 | Ep:  201 | Steps:   14 | Reward:    -1.82
Total T:    4200 | Ep:  202 | Steps:   14 | Reward:    -1.09
Total T:    4218 | Ep:  203 | Steps:   18 | Reward:    -0.45
Total T:    4240 | Ep:  204 | Steps:   22 | Reward:     8.58
Total T:    4277 | Ep:  205 | Steps:   37 | Reward:   -10.24
Total T:    4305 | Ep:  206 | Steps:   28 | Reward:     7.80
Total T:    4345 | Ep:  207 | Steps:   40 | Reward:    13.00
Total T:    4357 | Ep:  208 | Steps:   12 | Reward:     0.46
Total T:    4380 | Ep:  209 | Steps:   23 | Reward:     7.83
Total T:    4400 | Ep:  210 | Steps:   20 | Reward:    -0.44
Total T:    4410 | Ep:  211 | Steps:   10 | Reward:    -1.30
Total T:    4438 | Ep:  212 | Steps:   28 | Reward:    17.90
Total T:    4465 | Ep:  213 | Steps:   27 | Reward:     5.73
Total T:    4489 | Ep:  214 | Steps:   24 | Reward:    -4.96
Total T:    4507 | Ep:  215 | Steps:   18 | Reward:     5.39
Total T:    4538 | Ep:  216 | Steps:   31 | Reward:    12.67
Total T:    4555 | Ep:  217 | Steps:   17 | Reward:    -3.87
Total T:    4574 | Ep:  218 | Steps:   19 | Reward:     2.94
Total T:    4591 | Ep:  219 | Steps:   17 | Reward:     2.03
Total T:    4603 | Ep:  220 | Steps:   12 | Reward:     0.75
Total T:    4613 | Ep:  221 | Steps:   10 | Reward:     0.55
Total T:    4626 | Ep:  222 | Steps:   13 | Reward:    -2.38
Total T:    4652 | Ep:  223 | Steps:   26 | Reward:     0.97
Total T:    4672 | Ep:  224 | Steps:   20 | Reward:    -2.55
Total T:    4691 | Ep:  225 | Steps:   19 | Reward:     4.64
Total T:    4713 | Ep:  226 | Steps:   22 | Reward:     7.79
Total T:    4729 | Ep:  227 | Steps:   16 | Reward:     1.53
Total T:    4747 | Ep:  228 | Steps:   18 | Reward:     3.79
Total T:    4773 | Ep:  229 | Steps:   26 | Reward:     9.88
Total T:    4805 | Ep:  230 | Steps:   32 | Reward:     2.53
Total T:    4816 | Ep:  231 | Steps:   11 | Reward:     0.89
Total T:    4826 | Ep:  232 | Steps:   10 | Reward:     0.70
Total T:    4836 | Ep:  233 | Steps:   10 | Reward:    -1.27
Total T:    4866 | Ep:  234 | Steps:   30 | Reward:    15.28
Total T:    4884 | Ep:  235 | Steps:   18 | Reward:     5.51
Total T:    4913 | Ep:  236 | Steps:   29 | Reward:    12.81
Total T:    4940 | Ep:  237 | Steps:   27 | Reward:    -3.66
Total T:    4966 | Ep:  238 | Steps:   26 | Reward:     2.62
Total T:    4982 | Ep:  239 | Steps:   16 | Reward:     1.95
Total T:    4992 | Ep:  240 | Steps:   10 | Reward:    -0.56
Total T:    5011 | Ep:  241 | Steps:   19 | Reward:     4.26
Total T:    5043 | Ep:  242 | Steps:   32 | Reward:     3.13
Total T:    5068 | Ep:  243 | Steps:   25 | Reward:    14.81
Total T:    5095 | Ep:  244 | Steps:   27 | Reward:    -0.89
Total T:    5107 | Ep:  245 | Steps:   12 | Reward:    -0.90
Total T:    5126 | Ep:  246 | Steps:   19 | Reward:    -0.80
Total T:    5153 | Ep:  247 | Steps:   27 | Reward:    14.72
Total T:    5178 | Ep:  248 | Steps:   25 | Reward:     0.08
Total T:    5192 | Ep:  249 | Steps:   14 | Reward:     1.19
Total T:    5216 | Ep:  250 | Steps:   24 | Reward:    -3.28
Total T:    5236 | Ep:  251 | Steps:   20 | Reward:    -2.42
Total T:    5256 | Ep:  252 | Steps:   20 | Reward:    -3.46
Total T:    5274 | Ep:  253 | Steps:   18 | Reward:    -0.06
Total T:    5305 | Ep:  254 | Steps:   31 | Reward:     3.18
Total T:    5317 | Ep:  255 | Steps:   12 | Reward:    -1.37
Total T:    5339 | Ep:  256 | Steps:   22 | Reward:    -4.58
Total T:    5352 | Ep:  257 | Steps:   13 | Reward:     2.63
Total T:    5362 | Ep:  258 | Steps:   10 | Reward:     0.16
Total T:    5391 | Ep:  259 | Steps:   29 | Reward:     5.98
Total T:    5413 | Ep:  260 | Steps:   22 | Reward:    -2.57
Total T:    5436 | Ep:  261 | Steps:   23 | Reward:     5.61
Total T:    5469 | Ep:  262 | Steps:   33 | Reward:     8.05
Total T:    5490 | Ep:  263 | Steps:   21 | Reward:     9.08
Total T:    5502 | Ep:  264 | Steps:   12 | Reward:     2.63
Total T:    5514 | Ep:  265 | Steps:   12 | Reward:    -4.65
Total T:    5538 | Ep:  266 | Steps:   24 | Reward:    11.30
Total T:    5567 | Ep:  267 | Steps:   29 | Reward:     4.73
Total T:    5580 | Ep:  268 | Steps:   13 | Reward:     1.02
Total T:    5631 | Ep:  269 | Steps:   51 | Reward:    13.02
Total T:    5643 | Ep:  270 | Steps:   12 | Reward:    -1.25
Total T:    5655 | Ep:  271 | Steps:   12 | Reward:    -1.68
Total T:    5676 | Ep:  272 | Steps:   21 | Reward:     0.60
Total T:    5688 | Ep:  273 | Steps:   12 | Reward:     0.64
Total T:    5704 | Ep:  274 | Steps:   16 | Reward:     4.60
Total T:    5746 | Ep:  275 | Steps:   42 | Reward:     2.79
Total T:    5762 | Ep:  276 | Steps:   16 | Reward:     4.82
Total T:    5781 | Ep:  277 | Steps:   19 | Reward:     0.73
Total T:    5801 | Ep:  278 | Steps:   20 | Reward:    -1.24
Total T:    5828 | Ep:  279 | Steps:   27 | Reward:     6.61
Total T:    5856 | Ep:  280 | Steps:   28 | Reward:     9.59
Total T:    5900 | Ep:  281 | Steps:   44 | Reward:    27.06
Total T:    5914 | Ep:  282 | Steps:   14 | Reward:     4.14
Total T:    5934 | Ep:  283 | Steps:   20 | Reward:     1.09
Total T:    5948 | Ep:  284 | Steps:   14 | Reward:     3.54
Total T:    5975 | Ep:  285 | Steps:   27 | Reward:    -2.61
Total T:    6001 | Ep:  286 | Steps:   26 | Reward:    -1.95
Total T:    6017 | Ep:  287 | Steps:   16 | Reward:    -0.26
Total T:    6053 | Ep:  288 | Steps:   36 | Reward:     5.81
Total T:    6068 | Ep:  289 | Steps:   15 | Reward:    -6.49
Total T:    6095 | Ep:  290 | Steps:   27 | Reward:    -2.44
Total T:    6108 | Ep:  291 | Steps:   13 | Reward:    -1.51
