C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed2_Walker2d-v4_11-05-2026_14-02-59
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: -5.197
---------------------------------------
Total T:    2823 | Ep:  133 | Steps:   40 | Reward:    15.72
Total T:    2842 | Ep:  134 | Steps:   19 | Reward:    -2.93
Total T:    2853 | Ep:  135 | Steps:   11 | Reward:    -0.31
Total T:    2889 | Ep:  136 | Steps:   36 | Reward:    23.91
Total T:    2904 | Ep:  137 | Steps:   15 | Reward:     0.18
Total T:    2927 | Ep:  138 | Steps:   23 | Reward:    -4.80
Total T:    2948 | Ep:  139 | Steps:   21 | Reward:     2.51
Total T:    2961 | Ep:  140 | Steps:   13 | Reward:    -3.08
Total T:    2978 | Ep:  141 | Steps:   17 | Reward:     3.25
Total T:    2996 | Ep:  142 | Steps:   18 | Reward:     6.68
Total T:    3016 | Ep:  143 | Steps:   20 | Reward:    -3.38
Total T:    3056 | Ep:  144 | Steps:   40 | Reward:     7.90
Total T:    3074 | Ep:  145 | Steps:   18 | Reward:     3.77
Total T:    3086 | Ep:  146 | Steps:   12 | Reward:     3.36
Total T:    3118 | Ep:  147 | Steps:   32 | Reward:    14.55
Total T:    3136 | Ep:  148 | Steps:   18 | Reward:     0.32
Total T:    3167 | Ep:  149 | Steps:   31 | Reward:    -6.39
Total T:    3178 | Ep:  150 | Steps:   11 | Reward:    -0.82
Total T:    3235 | Ep:  151 | Steps:   57 | Reward:    45.51
Total T:    3249 | Ep:  152 | Steps:   14 | Reward:     0.56
Total T:    3274 | Ep:  153 | Steps:   25 | Reward:     1.27
Total T:    3299 | Ep:  154 | Steps:   25 | Reward:    -3.02
Total T:    3312 | Ep:  155 | Steps:   13 | Reward:     2.36
Total T:    3326 | Ep:  156 | Steps:   14 | Reward:     1.62
Total T:    3336 | Ep:  157 | Steps:   10 | Reward:     0.11
Total T:    3358 | Ep:  158 | Steps:   22 | Reward:     5.43
Total T:    3383 | Ep:  159 | Steps:   25 | Reward:     2.25
Total T:    3398 | Ep:  160 | Steps:   15 | Reward:     3.74
Total T:    3412 | Ep:  161 | Steps:   14 | Reward:     2.10
Total T:    3429 | Ep:  162 | Steps:   17 | Reward:    -2.54
Total T:    3455 | Ep:  163 | Steps:   26 | Reward:     2.40
Total T:    3470 | Ep:  164 | Steps:   15 | Reward:    -7.25
Total T:    3505 | Ep:  165 | Steps:   35 | Reward:     6.06
Total T:    3516 | Ep:  166 | Steps:   11 | Reward:    -3.18
Total T:    3563 | Ep:  167 | Steps:   47 | Reward:     2.02
Total T:    3588 | Ep:  168 | Steps:   25 | Reward:     2.10
Total T:    3598 | Ep:  169 | Steps:   10 | Reward:    -1.43
Total T:    3616 | Ep:  170 | Steps:   18 | Reward:     4.89
Total T:    3629 | Ep:  171 | Steps:   13 | Reward:    -7.77
Total T:    3657 | Ep:  172 | Steps:   28 | Reward:     0.73
Total T:    3680 | Ep:  173 | Steps:   23 | Reward:    -1.24
Total T:    3698 | Ep:  174 | Steps:   18 | Reward:     5.19
Total T:    3721 | Ep:  175 | Steps:   23 | Reward:    -0.87
Total T:    3735 | Ep:  176 | Steps:   14 | Reward:     1.08
Total T:    3756 | Ep:  177 | Steps:   21 | Reward:     5.83
Total T:    3775 | Ep:  178 | Steps:   19 | Reward:     3.43
Total T:    3796 | Ep:  179 | Steps:   21 | Reward:    -3.22
Total T:    3819 | Ep:  180 | Steps:   23 | Reward:    -2.50
Total T:    3852 | Ep:  181 | Steps:   33 | Reward:    15.89
Total T:    3893 | Ep:  182 | Steps:   41 | Reward:    26.89
Total T:    3926 | Ep:  183 | Steps:   33 | Reward:     2.32
Total T:    3946 | Ep:  184 | Steps:   20 | Reward:     5.93
Total T:    3982 | Ep:  185 | Steps:   36 | Reward:     1.43
Total T:    4008 | Ep:  186 | Steps:   26 | Reward:     3.97
Total T:    4023 | Ep:  187 | Steps:   15 | Reward:     0.63
Total T:    4051 | Ep:  188 | Steps:   28 | Reward:    13.82
Total T:    4077 | Ep:  189 | Steps:   26 | Reward:    10.06
Total T:    4089 | Ep:  190 | Steps:   12 | Reward:     2.09
Total T:    4121 | Ep:  191 | Steps:   32 | Reward:    12.57
Total T:    4133 | Ep:  192 | Steps:   12 | Reward:     1.22
Total T:    4147 | Ep:  193 | Steps:   14 | Reward:     4.90
Total T:    4157 | Ep:  194 | Steps:   10 | Reward:    -3.63
Total T:    4182 | Ep:  195 | Steps:   25 | Reward:    -8.57
Total T:    4193 | Ep:  196 | Steps:   11 | Reward:    -3.33
Total T:    4213 | Ep:  197 | Steps:   20 | Reward:    -3.12
Total T:    4231 | Ep:  198 | Steps:   18 | Reward:     1.74
Total T:    4245 | Ep:  199 | Steps:   14 | Reward:     0.16
Total T:    4260 | Ep:  200 | Steps:   15 | Reward:     3.78
Total T:    4283 | Ep:  201 | Steps:   23 | Reward:     4.71
Total T:    4305 | Ep:  202 | Steps:   22 | Reward:    -7.18
Total T:    4339 | Ep:  203 | Steps:   34 | Reward:     0.98
Total T:    4356 | Ep:  204 | Steps:   17 | Reward:     6.51
Total T:    4372 | Ep:  205 | Steps:   16 | Reward:    -1.60
Total T:    4388 | Ep:  206 | Steps:   16 | Reward:     4.51
Total T:    4399 | Ep:  207 | Steps:   11 | Reward:     1.50
Total T:    4424 | Ep:  208 | Steps:   25 | Reward:     9.75
