/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Hopper-v4
  ob_dim    = 11
  ac_dim    = 3
  max_action= 1.0
Logdir:     /home/naida/Desktop/CS515-Deep-RL/TD3_algorithm/runs/td3_sweep_hopper-v4_seed3_Hopper-v4_10-05-2026_21-37-11
Rendering:  off
--------------------------------------------------
/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 12.866
---------------------------------------
Total T:    4114 | Ep:  181 | Steps:   15 | Reward:    10.66
Total T:    4131 | Ep:  182 | Steps:   17 | Reward:    16.99
Total T:    4146 | Ep:  183 | Steps:   15 | Reward:    13.25
Total T:    4185 | Ep:  184 | Steps:   39 | Reward:    37.75
Total T:    4199 | Ep:  185 | Steps:   14 | Reward:     8.93
Total T:    4218 | Ep:  186 | Steps:   19 | Reward:    17.00
Total T:    4233 | Ep:  187 | Steps:   15 | Reward:    11.28
Total T:    4243 | Ep:  188 | Steps:   10 | Reward:     7.22
Total T:    4275 | Ep:  189 | Steps:   32 | Reward:    27.29
Total T:    4312 | Ep:  190 | Steps:   37 | Reward:    27.66
Total T:    4331 | Ep:  191 | Steps:   19 | Reward:    12.43
Total T:    4346 | Ep:  192 | Steps:   15 | Reward:     9.89
Total T:    4376 | Ep:  193 | Steps:   30 | Reward:    34.60
Total T:    4392 | Ep:  194 | Steps:   16 | Reward:     7.75
Total T:    4412 | Ep:  195 | Steps:   20 | Reward:    11.20
Total T:    4430 | Ep:  196 | Steps:   18 | Reward:    19.14
Total T:    4451 | Ep:  197 | Steps:   21 | Reward:    15.96
Total T:    4466 | Ep:  198 | Steps:   15 | Reward:     9.58
Total T:    4482 | Ep:  199 | Steps:   16 | Reward:    11.24
Total T:    4503 | Ep:  200 | Steps:   21 | Reward:    11.68
Total T:    4520 | Ep:  201 | Steps:   17 | Reward:    14.50
Total T:    4545 | Ep:  202 | Steps:   25 | Reward:    21.67
Total T:    4567 | Ep:  203 | Steps:   22 | Reward:    13.67
Total T:    4595 | Ep:  204 | Steps:   28 | Reward:    15.77
Total T:    4616 | Ep:  205 | Steps:   21 | Reward:    12.80
Total T:    4656 | Ep:  206 | Steps:   40 | Reward:    42.62
Total T:    4669 | Ep:  207 | Steps:   13 | Reward:    13.72
Total T:    4688 | Ep:  208 | Steps:   19 | Reward:    15.82
Total T:    4747 | Ep:  209 | Steps:   59 | Reward:   106.20
Total T:    4767 | Ep:  210 | Steps:   20 | Reward:    14.63
Total T:    4795 | Ep:  211 | Steps:   28 | Reward:    19.47
Total T:    4810 | Ep:  212 | Steps:   15 | Reward:    10.65
Total T:    4823 | Ep:  213 | Steps:   13 | Reward:    11.05
Total T:    4841 | Ep:  214 | Steps:   18 | Reward:     7.12
Total T:    4881 | Ep:  215 | Steps:   40 | Reward:    29.20
Total T:    4892 | Ep:  216 | Steps:   11 | Reward:     9.07
Total T:    4909 | Ep:  217 | Steps:   17 | Reward:    13.08
Total T:    4919 | Ep:  218 | Steps:   10 | Reward:     8.39
Total T:    4932 | Ep:  219 | Steps:   13 | Reward:     8.71
Total T:    4942 | Ep:  220 | Steps:   10 | Reward:     5.23
Total T:    5014 | Ep:  221 | Steps:   72 | Reward:    95.98
Total T:    5075 | Ep:  222 | Steps:   61 | Reward:    84.77
Total T:    5090 | Ep:  223 | Steps:   15 | Reward:     9.19
Total T:    5107 | Ep:  224 | Steps:   17 | Reward:    17.00
Total T:    5133 | Ep:  225 | Steps:   26 | Reward:    33.87
Total T:    5153 | Ep:  226 | Steps:   20 | Reward:    10.47
Total T:    5172 | Ep:  227 | Steps:   19 | Reward:    13.86
Total T:    5226 | Ep:  228 | Steps:   54 | Reward:    84.31
Total T:    5236 | Ep:  229 | Steps:   10 | Reward:     6.33
Total T:    5254 | Ep:  230 | Steps:   18 | Reward:    12.81
Total T:    5285 | Ep:  231 | Steps:   31 | Reward:    24.70
Total T:    5298 | Ep:  232 | Steps:   13 | Reward:     9.73
Total T:    5308 | Ep:  233 | Steps:   10 | Reward:     7.73
Total T:    5321 | Ep:  234 | Steps:   13 | Reward:    10.23
Total T:    5335 | Ep:  235 | Steps:   14 | Reward:    11.21
Total T:    5352 | Ep:  236 | Steps:   17 | Reward:    15.58
Total T:    5371 | Ep:  237 | Steps:   19 | Reward:    16.42
Total T:    5392 | Ep:  238 | Steps:   21 | Reward:    17.44
Total T:    5405 | Ep:  239 | Steps:   13 | Reward:     9.16
Total T:    5413 | Ep:  240 | Steps:    8 | Reward:     4.30
Total T:    5429 | Ep:  241 | Steps:   16 | Reward:    15.97
Total T:    5448 | Ep:  242 | Steps:   19 | Reward:    11.76
Total T:    5464 | Ep:  243 | Steps:   16 | Reward:     8.75
Total T:    5482 | Ep:  244 | Steps:   18 | Reward:    17.32
Total T:    5497 | Ep:  245 | Steps:   15 | Reward:    11.30
Total T:    5517 | Ep:  246 | Steps:   20 | Reward:    20.10
Total T:    5552 | Ep:  247 | Steps:   35 | Reward:    46.95
Total T:    5563 | Ep:  248 | Steps:   11 | Reward:     7.76
Total T:    5605 | Ep:  249 | Steps:   42 | Reward:    36.83
Total T:    5625 | Ep:  250 | Steps:   20 | Reward:    17.23
Total T:    5638 | Ep:  251 | Steps:   13 | Reward:    11.41
Total T:    5661 | Ep:  252 | Steps:   23 | Reward:    15.29
Total T:    5677 | Ep:  253 | Steps:   16 | Reward:    15.29
Total T:    5688 | Ep:  254 | Steps:   11 | Reward:     6.94
Total T:    5697 | Ep:  255 | Steps:    9 | Reward:     6.58
Total T:    5715 | Ep:  256 | Steps:   18 | Reward:    17.97
Total T:    5745 | Ep:  257 | Steps:   30 | Reward:    22.64
Total T:    5764 | Ep:  258 | Steps:   19 | Reward:    11.63
Total T:    5780 | Ep:  259 | Steps:   16 | Reward:    14.77
Total T:    5820 | Ep:  260 | Steps:   40 | Reward:    39.92
Total T:    5834 | Ep:  261 | Steps:   14 | Reward:    11.59
Total T:    5849 | Ep:  262 | Steps:   15 | Reward:    13.25
Total T:    5877 | Ep:  263 | Steps:   28 | Reward:    19.88
Total T:    5909 | Ep:  264 | Steps:   32 | Reward:    40.94
Total T:    5927 | Ep:  265 | Steps:   18 | Reward:    17.77
Total T:    5941 | Ep:  266 | Steps:   14 | Reward:    12.74
Total T:    5957 | Ep:  267 | Steps:   16 | Reward:    10.07
Total T:    5974 | Ep:  268 | Steps:   17 | Reward:    10.56
Total T:    5990 | Ep:  269 | Steps:   16 | Reward:    12.49
Total T:    6001 | Ep:  270 | Steps:   11 | Reward:     8.04
Total T:    6022 | Ep:  271 | Steps:   21 | Reward:    11.26
Total T:    6045 | Ep:  272 | Steps:   23 | Reward:    22.24
Total T:    6061 | Ep:  273 | Steps:   16 | Reward:    15.31
Total T:    6093 | Ep:  274 | Steps:   32 | Reward:    31.20
Total T:    6113 | Ep:  275 | Steps:   20 | Reward:    22.60
Total T:    6129 | Ep:  276 | Steps:   16 | Reward:    13.52
Total T:    6145 | Ep:  277 | Steps:   16 | Reward:    13.43
Total T:    6155 | Ep:  278 | Steps:   10 | Reward:     7.11
Total T:    6185 | Ep:  279 | Steps:   30 | Reward:    31.61
Total T:    6263 | Ep:  280 | Steps:   78 | Reward:   128.42
Total T:    6299 | Ep:  281 | Steps:   36 | Reward:    45.23
Total T:    6320 | Ep:  282 | Steps:   21 | Reward:    16.19
Total T:    6343 | Ep:  283 | Steps:   23 | Reward:    18.57
Total T:    6366 | Ep:  284 | Steps:   23 | Reward:    22.87
Total T:    6393 | Ep:  285 | Steps:   27 | Reward:    24.57
Total T:    6408 | Ep:  286 | Steps:   15 | Reward:     9.26
Total T:    6430 | Ep:  287 | Steps:   22 | Reward:    13.37
Total T:    6455 | Ep:  288 | Steps:   25 | Reward:    16.22
Total T:    6466 | Ep:  289 | Steps:   11 | Reward:     9.38
Total T:    6484 | Ep:  290 | Steps:   18 | Reward:     9.00
Total T:    6498 | Ep:  291 | Steps:   14 | Reward:     8.67
Total T:    6512 | Ep:  292 | Steps:   14 | Reward:     8.50
Total T:    6529 | Ep:  293 | Steps:   17 | Reward:    11.09
Total T:    6554 | Ep:  294 | Steps:   25 | Reward:    12.97
Total T:    6568 | Ep:  295 | Steps:   14 | Reward:    11.78
Total T:    6587 | Ep:  296 | Steps:   19 | Reward:    13.31
Total T:    6608 | Ep:  297 | Steps:   21 | Reward:    15.88
Total T:    6623 | Ep:  298 | Steps:   15 | Reward:    11.33
Total T:    6637 | Ep:  299 | Steps:   14 | Reward:    11.81
Total T:    6667 | Ep:  300 | Steps:   30 | Reward:    33.45
Total T:    6699 | Ep:  301 | Steps:   32 | Reward:    44.82
Total T:    6719 | Ep:  302 | Steps:   20 | Reward:    16.39
Total T:    6741 | Ep:  303 | Steps:   22 | Reward:    21.68
Total T:    6756 | Ep:  304 | Steps:   15 | Reward:    12.05
Total T:    6769 | Ep:  305 | Steps:   13 | Reward:     9.33
Total T:    6800 | Ep:  306 | Steps:   31 | Reward:    18.98
Total T:    6826 | Ep:  307 | Steps:   26 | Reward:    22.03
Total T:    6841 | Ep:  308 | Steps:   15 | Reward:    13.04
Total T:    6866 | Ep:  309 | Steps:   25 | Reward:    26.36
Total T:    6878 | Ep:  310 | Steps:   12 | Reward:     7.86
Total T:    6890 | Ep:  311 | Steps:   12 | Reward:     9.49
Total T:    6907 | Ep:  312 | Steps:   17 | Reward:    13.92
Total T:    6921 | Ep:  313 | Steps:   14 | Reward:     9.17
Total T:    6950 | Ep:  314 | Steps:   29 | Reward:    21.57
Total T:    6970 | Ep:  315 | Steps:   20 | Reward:    12.94
Total T:    7028 | Ep:  316 | Steps:   58 | Reward:    73.74
Total T:    7058 | Ep:  317 | Steps:   30 | Reward:    10.48
Total T:    7080 | Ep:  318 | Steps:   22 | Reward:     9.20
Total T:    7099 | Ep:  319 | Steps:   19 | Reward:    17.56
Total T:    7122 | Ep:  320 | Steps:   23 | Reward:    26.66
Total T:    7141 | Ep:  321 | Steps:   19 | Reward:    16.34
Total T:    7165 | Ep:  322 | Steps:   24 | Reward:    12.54
Total T:    7200 | Ep:  323 | Steps:   35 | Reward:    38.56
Total T:    7212 | Ep:  324 | Steps:   12 | Reward:     8.36
Total T:    7252 | Ep:  325 | Steps:   40 | Reward:    36.99
Total T:    7260 | Ep:  326 | Steps:    8 | Reward:     5.46
Total T:    7271 | Ep:  327 | Steps:   11 | Reward:     8.69
Total T:    7284 | Ep:  328 | Steps:   13 | Reward:     9.95
Total T:    7301 | Ep:  329 | Steps:   17 | Reward:    16.30
Total T:    7337 | Ep:  330 | Steps:   36 | Reward:    31.77
Total T:    7356 | Ep:  331 | Steps:   19 | Reward:     6.37
Total T:    7372 | Ep:  332 | Steps:   16 | Reward:    15.65
Total T:    7384 | Ep:  333 | Steps:   12 | Reward:     7.01
Total T:    7403 | Ep:  334 | Steps:   19 | Reward:    17.19
