/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Hopper-v4
  ob_dim    = 11
  ac_dim    = 3
  max_action= 1.0
Logdir:     /home/naida/Desktop/CS515-Deep-RL/TD3_algorithm/runs/td3_sweep_hopper-v4_seed0_Hopper-v4_10-05-2026_21-26-23
Rendering:  off
--------------------------------------------------
/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 18.670
---------------------------------------
Total T:    3430 | Ep:  154 | Steps:   16 | Reward:    13.32
Total T:    3468 | Ep:  155 | Steps:   38 | Reward:    33.36
Total T:    3504 | Ep:  156 | Steps:   36 | Reward:    19.06
Total T:    3536 | Ep:  157 | Steps:   32 | Reward:    28.84
Total T:    3552 | Ep:  158 | Steps:   16 | Reward:     5.72
Total T:    3566 | Ep:  159 | Steps:   14 | Reward:    10.01
Total T:    3601 | Ep:  160 | Steps:   35 | Reward:    33.26
Total T:    3619 | Ep:  161 | Steps:   18 | Reward:    14.55
Total T:    3635 | Ep:  162 | Steps:   16 | Reward:    17.00
Total T:    3658 | Ep:  163 | Steps:   23 | Reward:    15.51
Total T:    3671 | Ep:  164 | Steps:   13 | Reward:     9.64
Total T:    3688 | Ep:  165 | Steps:   17 | Reward:    16.65
Total T:    3722 | Ep:  166 | Steps:   34 | Reward:    28.66
Total T:    3757 | Ep:  167 | Steps:   35 | Reward:    20.77
Total T:    3791 | Ep:  168 | Steps:   34 | Reward:    22.17
Total T:    3811 | Ep:  169 | Steps:   20 | Reward:    23.01
Total T:    3830 | Ep:  170 | Steps:   19 | Reward:    19.44
Total T:    3840 | Ep:  171 | Steps:   10 | Reward:     7.23
Total T:    3861 | Ep:  172 | Steps:   21 | Reward:    14.74
Total T:    3878 | Ep:  173 | Steps:   17 | Reward:    16.06
Total T:    3901 | Ep:  174 | Steps:   23 | Reward:    10.58
Total T:    3928 | Ep:  175 | Steps:   27 | Reward:    13.01
Total T:    3951 | Ep:  176 | Steps:   23 | Reward:    18.80
Total T:    3969 | Ep:  177 | Steps:   18 | Reward:    16.18
Total T:    3985 | Ep:  178 | Steps:   16 | Reward:     9.52
Total T:    4075 | Ep:  179 | Steps:   90 | Reward:   161.67
Total T:    4101 | Ep:  180 | Steps:   26 | Reward:    22.89
Total T:    4146 | Ep:  181 | Steps:   45 | Reward:    39.99
Total T:    4176 | Ep:  182 | Steps:   30 | Reward:     8.31
Total T:    4189 | Ep:  183 | Steps:   13 | Reward:     5.33
Total T:    4207 | Ep:  184 | Steps:   18 | Reward:     9.81
Total T:    4229 | Ep:  185 | Steps:   22 | Reward:    22.30
Total T:    4243 | Ep:  186 | Steps:   14 | Reward:     9.57
