C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed3_Walker2d-v4_11-05-2026_14-06-42
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: -4.165
---------------------------------------
Total T:    3601 | Ep:  166 | Steps:   38 | Reward:     9.59
Total T:    3617 | Ep:  167 | Steps:   16 | Reward:     0.76
Total T:    3638 | Ep:  168 | Steps:   21 | Reward:     3.27
Total T:    3653 | Ep:  169 | Steps:   15 | Reward:     0.49
Total T:    3671 | Ep:  170 | Steps:   18 | Reward:    -8.57
Total T:    3684 | Ep:  171 | Steps:   13 | Reward:     2.14
Total T:    3716 | Ep:  172 | Steps:   32 | Reward:     7.77
Total T:    3745 | Ep:  173 | Steps:   29 | Reward:     4.67
Total T:    3772 | Ep:  174 | Steps:   27 | Reward:    -3.98
Total T:    3799 | Ep:  175 | Steps:   27 | Reward:     2.78
Total T:    3826 | Ep:  176 | Steps:   27 | Reward:     0.26
Total T:    3848 | Ep:  177 | Steps:   22 | Reward:    -3.17
Total T:    3872 | Ep:  178 | Steps:   24 | Reward:     2.94
Total T:    3884 | Ep:  179 | Steps:   12 | Reward:    -3.97
Total T:    3899 | Ep:  180 | Steps:   15 | Reward:     1.29
Total T:    3936 | Ep:  181 | Steps:   37 | Reward:    10.48
Total T:    3950 | Ep:  182 | Steps:   14 | Reward:    -1.43
Total T:    3983 | Ep:  183 | Steps:   33 | Reward:     8.40
Total T:    4011 | Ep:  184 | Steps:   28 | Reward:     7.37
Total T:    4029 | Ep:  185 | Steps:   18 | Reward:     1.81
Total T:    4039 | Ep:  186 | Steps:   10 | Reward:    -0.96
Total T:    4053 | Ep:  187 | Steps:   14 | Reward:    -2.72
Total T:    4072 | Ep:  188 | Steps:   19 | Reward:    -3.39
Total T:    4089 | Ep:  189 | Steps:   17 | Reward:    -2.27
Total T:    4108 | Ep:  190 | Steps:   19 | Reward:    -2.13
Total T:    4126 | Ep:  191 | Steps:   18 | Reward:     1.92
Total T:    4142 | Ep:  192 | Steps:   16 | Reward:     2.10
Total T:    4155 | Ep:  193 | Steps:   13 | Reward:     3.49
Total T:    4180 | Ep:  194 | Steps:   25 | Reward:     3.28
